nama_kabupaten_kota,jenis_kelamin,kategori_pendidikan,jumlah,tahun,umur,location
KABUPATEN BOGOR,LAKI-LAKI,SD,0,2018,6-11,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,LAKI-LAKI,SMP,0,2018,12-14,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,LAKI-LAKI,SMA,0,2018,15-17,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,PEREMPUAN,SD,0,2018,6-11,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,PEREMPUAN,SMP,1,2018,12-14,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,PEREMPUAN,SMA,0,2018,15-17,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,PEREMPUAN,PERGURUAN TINGGI,1,2018,>18,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.5453255,107.00174246832204"
KABUPATEN BOGOR,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.5453255,107.00174246832204"
KABUPATEN SUKABUMI,LAKI-LAKI,SD,3,2018,6-11,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,LAKI-LAKI,SMP,0,2018,12-14,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,LAKI-LAKI,SMA,2,2018,15-17,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,LAKI-LAKI,TK/PAUD,0,2018,<5,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,LAKI-LAKI,TK/PAUD,0,2018,<5,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,PEREMPUAN,SD,12,2018,6-11,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,PEREMPUAN,SMP,7,2018,12-14,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,PEREMPUAN,SMA,8,2018,15-17,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,PEREMPUAN,PERGURUAN TINGGI,2,2018,>18,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,PEREMPUAN,TK/PAUD,0,2018,<5,"-7.0764508500000005,106.73466083246038"
KABUPATEN SUKABUMI,PEREMPUAN,TK/PAUD,0,2018,<5,"-7.0764508500000005,106.73466083246038"
KABUPATEN CIANJUR,LAKI-LAKI,SD,3,2018,6-11,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,LAKI-LAKI,SMP,0,2018,12-14,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,LAKI-LAKI,SMA,0,2018,15-17,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,LAKI-LAKI,PERGURUAN TINGGI,1,2018,>18,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,LAKI-LAKI,TK/PAUD,0,2018,<5,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,LAKI-LAKI,TK/PAUD,0,2018,<5,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,PEREMPUAN,SD,0,2018,6-11,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,PEREMPUAN,SMP,0,2018,12-14,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,PEREMPUAN,SMA,0,2018,15-17,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,PEREMPUAN,PERGURUAN TINGGI,0,2018,>18,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,PEREMPUAN,TK/PAUD,0,2018,<5,"-7.3699365,107.29652593657175"
KABUPATEN CIANJUR,PEREMPUAN,TK/PAUD,0,2018,<5,"-7.3699365,107.29652593657175"
KABUPATEN BANDUNG,LAKI-LAKI,SD,3,2018,6-11,"-7.9066879,110.56400786469558"
KABUPATEN BANDUNG,LAKI-LAKI,SMP,5,2018,12-14,"-7.9066879,110.56400786469558"
KABUPATEN BANDUNG,LAKI-LAKI,SMA,2,2018,15-17,"-7.9066879,110.56400786469558"
KABUPATEN BANDUNG,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-7.9066879,110.56400786469558"
KABUPATEN BANDUNG,LAKI-LAKI,TK/PAUD,0,2018,<5,"-7.9066879,110.56400786469558"
KABUPATEN BANDUNG,LAKI-LAKI,TK/PAUD,0,2018,<5,"-7.9066879,110.56400786469558"
KABUPATEN BANDUNG,PEREMPUAN,SD,17,2018,6-11,"-7.9066879,110.56400786469558"
KABUPATEN BANDUNG,PEREMPUAN,SMP,12,2018,12-14,"-7.9066879,110.56400786469558"
KABUPATEN BANDUNG,PEREMPUAN,SMA,6,2018,15-17,"-7.9066879,110.56400786469558"
KABUPATEN BANDUNG,PEREMPUAN,PERGURUAN TINGGI,1,2018,>18,"-7.9066879,110.56400786469558"
KABUPATEN BANDUNG,PEREMPUAN,TK/PAUD,0,2018,<5,"-7.9066879,110.56400786469558"
KABUPATEN BANDUNG,PEREMPUAN,TK/PAUD,0,2018,<5,"-7.9066879,110.56400786469558"
KABUPATEN GARUT,LAKI-LAKI,SD,0,2018,6-11,"-7.2167526,107.9003089"
KABUPATEN GARUT,LAKI-LAKI,SMP,0,2018,12-14,"-7.2167526,107.9003089"
KABUPATEN GARUT,LAKI-LAKI,SMA,0,2018,15-17,"-7.2167526,107.9003089"
KABUPATEN GARUT,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-7.2167526,107.9003089"
KABUPATEN GARUT,LAKI-LAKI,TK/PAUD,0,2018,<5,"-7.2167526,107.9003089"
KABUPATEN GARUT,LAKI-LAKI,TK/PAUD,0,2018,<5,"-7.2167526,107.9003089"
KABUPATEN GARUT,PEREMPUAN,SD,2,2018,6-11,"-7.2167526,107.9003089"
KABUPATEN GARUT,PEREMPUAN,SMP,0,2018,12-14,"-7.2167526,107.9003089"
KABUPATEN GARUT,PEREMPUAN,SMA,0,2018,15-17,"-7.2167526,107.9003089"
KABUPATEN GARUT,PEREMPUAN,PERGURUAN TINGGI,0,2018,>18,"-7.2167526,107.9003089"
KABUPATEN GARUT,PEREMPUAN,TK/PAUD,0,2018,<5,"-7.2167526,107.9003089"
KABUPATEN GARUT,PEREMPUAN,TK/PAUD,0,2018,<5,"-7.2167526,107.9003089"
KABUPATEN TASIKMALAYA,LAKI-LAKI,SD,1,2018,6-11,"-7.3258225,108.2246372"
KABUPATEN TASIKMALAYA,LAKI-LAKI,SMP,0,2018,12-14,"-7.3258225,108.2246372"
KABUPATEN TASIKMALAYA,LAKI-LAKI,SMA,0,2018,15-17,"-7.3258225,108.2246372"
KABUPATEN TASIKMALAYA,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-7.3258225,108.2246372"
KABUPATEN TASIKMALAYA,LAKI-LAKI,TK/PAUD,0,2018,<5,"-7.3258225,108.2246372"
KABUPATEN TASIKMALAYA,LAKI-LAKI,TK/PAUD,0,2018,<5,"-7.3258225,108.2246372"
KABUPATEN TASIKMALAYA,PEREMPUAN,SD,1,2018,6-11,"-7.3258225,108.2246372"
KABUPATEN TASIKMALAYA,PEREMPUAN,SMP,2,2018,12-14,"-7.3258225,108.2246372"
KABUPATEN TASIKMALAYA,PEREMPUAN,SMA,0,2018,15-17,"-7.3258225,108.2246372"
KABUPATEN TASIKMALAYA,PEREMPUAN,PERGURUAN TINGGI,1,2018,>18,"-7.3258225,108.2246372"
KABUPATEN TASIKMALAYA,PEREMPUAN,TK/PAUD,1,2018,<5,"-7.3258225,108.2246372"
KABUPATEN TASIKMALAYA,PEREMPUAN,TK/PAUD,0,2018,<5,"-7.3258225,108.2246372"
KABUPATEN CIAMIS,LAKI-LAKI,SD,0,2018,6-11,"-7.326995849999999,108.34065164716915"
KABUPATEN CIAMIS,LAKI-LAKI,SMP,0,2018,12-14,"-7.326995849999999,108.34065164716915"
KABUPATEN CIAMIS,LAKI-LAKI,SMA,0,2018,15-17,"-7.326995849999999,108.34065164716915"
KABUPATEN CIAMIS,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-7.326995849999999,108.34065164716915"
KABUPATEN CIAMIS,LAKI-LAKI,TK/PAUD,0,2018,<5,"-7.326995849999999,108.34065164716915"
KABUPATEN CIAMIS,LAKI-LAKI,TK/PAUD,0,2018,<5,"-7.326995849999999,108.34065164716915"
KABUPATEN CIAMIS,PEREMPUAN,SD,0,2018,6-11,"-7.326995849999999,108.34065164716915"
KABUPATEN CIAMIS,PEREMPUAN,SMP,0,2018,12-14,"-7.326995849999999,108.34065164716915"
KABUPATEN CIAMIS,PEREMPUAN,SMA,4,2018,15-17,"-7.326995849999999,108.34065164716915"
KABUPATEN CIAMIS,PEREMPUAN,PERGURUAN TINGGI,0,2018,>18,"-7.326995849999999,108.34065164716915"
KABUPATEN CIAMIS,PEREMPUAN,TK/PAUD,0,2018,<5,"-7.326995849999999,108.34065164716915"
KABUPATEN CIAMIS,PEREMPUAN,TK/PAUD,0,2018,<5,"-7.326995849999999,108.34065164716915"
KABUPATEN KUNINGAN,LAKI-LAKI,SD,0,2018,6-11,"-6.9820247,108.4757184"
KABUPATEN KUNINGAN,LAKI-LAKI,SMP,5,2018,12-14,"-6.9820247,108.4757184"
KABUPATEN KUNINGAN,LAKI-LAKI,SMA,0,2018,15-17,"-6.9820247,108.4757184"
KABUPATEN KUNINGAN,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-6.9820247,108.4757184"
KABUPATEN KUNINGAN,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.9820247,108.4757184"
KABUPATEN KUNINGAN,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.9820247,108.4757184"
KABUPATEN KUNINGAN,PEREMPUAN,SD,6,2018,6-11,"-6.9820247,108.4757184"
KABUPATEN KUNINGAN,PEREMPUAN,SMP,3,2018,12-14,"-6.9820247,108.4757184"
KABUPATEN KUNINGAN,PEREMPUAN,SMA,1,2018,15-17,"-6.9820247,108.4757184"
KABUPATEN KUNINGAN,PEREMPUAN,PERGURUAN TINGGI,0,2018,>18,"-6.9820247,108.4757184"
KABUPATEN KUNINGAN,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.9820247,108.4757184"
KABUPATEN KUNINGAN,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.9820247,108.4757184"
KABUPATEN CIREBON,LAKI-LAKI,SMP,1,2018,12-14,"-6.7119351,108.559782"
KABUPATEN CIREBON,LAKI-LAKI,SMA,0,2018,15-17,"-6.7119351,108.559782"
KABUPATEN CIREBON,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-6.7119351,108.559782"
KABUPATEN CIREBON,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.7119351,108.559782"
KABUPATEN CIREBON,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.7119351,108.559782"
KABUPATEN CIREBON,LAKI-LAKI,SD,0,2018,6-11,"-6.7119351,108.559782"
KABUPATEN CIREBON,PEREMPUAN,SD,5,2018,6-11,"-6.7119351,108.559782"
KABUPATEN CIREBON,PEREMPUAN,SMP,6,2018,12-14,"-6.7119351,108.559782"
KABUPATEN CIREBON,PEREMPUAN,SMA,2,2018,15-17,"-6.7119351,108.559782"
KABUPATEN CIREBON,PEREMPUAN,PERGURUAN TINGGI,0,2018,>18,"-6.7119351,108.559782"
KABUPATEN CIREBON,PEREMPUAN,TK/PAUD,1,2018,<5,"-6.7119351,108.559782"
KABUPATEN CIREBON,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.7119351,108.559782"
KABUPATEN MAJALENGKA,LAKI-LAKI,SD,0,2018,6-11,"-6.8073627,108.27878604491181"
KABUPATEN MAJALENGKA,LAKI-LAKI,SMP,2,2018,12-14,"-6.8073627,108.27878604491181"
KABUPATEN MAJALENGKA,LAKI-LAKI,SMA,1,2018,15-17,"-6.8073627,108.27878604491181"
KABUPATEN MAJALENGKA,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-6.8073627,108.27878604491181"
KABUPATEN MAJALENGKA,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.8073627,108.27878604491181"
KABUPATEN MAJALENGKA,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.8073627,108.27878604491181"
KABUPATEN MAJALENGKA,PEREMPUAN,SD,0,2018,6-11,"-6.8073627,108.27878604491181"
KABUPATEN MAJALENGKA,PEREMPUAN,SMP,7,2018,12-14,"-6.8073627,108.27878604491181"
KABUPATEN MAJALENGKA,PEREMPUAN,SMA,1,2018,15-17,"-6.8073627,108.27878604491181"
KABUPATEN MAJALENGKA,PEREMPUAN,PERGURUAN TINGGI,0,2018,>18,"-6.8073627,108.27878604491181"
KABUPATEN MAJALENGKA,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.8073627,108.27878604491181"
KABUPATEN MAJALENGKA,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.8073627,108.27878604491181"
KABUPATEN SUMEDANG,LAKI-LAKI,SD,1,2018,6-11,"-6.8390984,107.926553"
KABUPATEN SUMEDANG,LAKI-LAKI,SMP,0,2018,12-14,"-6.8390984,107.926553"
KABUPATEN SUMEDANG,LAKI-LAKI,SMA,0,2018,15-17,"-6.8390984,107.926553"
KABUPATEN SUMEDANG,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-6.8390984,107.926553"
KABUPATEN SUMEDANG,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.8390984,107.926553"
KABUPATEN SUMEDANG,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.8390984,107.926553"
KABUPATEN SUMEDANG,PEREMPUAN,SD,0,2018,6-11,"-6.8390984,107.926553"
KABUPATEN SUMEDANG,PEREMPUAN,SMP,0,2018,12-14,"-6.8390984,107.926553"
KABUPATEN SUMEDANG,PEREMPUAN,SMA,2,2018,15-17,"-6.8390984,107.926553"
KABUPATEN SUMEDANG,PEREMPUAN,PERGURUAN TINGGI,1,2018,>18,"-6.8390984,107.926553"
KABUPATEN SUMEDANG,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.8390984,107.926553"
KABUPATEN SUMEDANG,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.8390984,107.926553"
KABUPATEN INDRAMAYU,LAKI-LAKI,SD,1,2018,6-11,"-6.4418536500000005,108.17654724128828"
KABUPATEN INDRAMAYU,LAKI-LAKI,SMP,0,2018,12-14,"-6.4418536500000005,108.17654724128828"
KABUPATEN INDRAMAYU,LAKI-LAKI,SMA,0,2018,15-17,"-6.4418536500000005,108.17654724128828"
KABUPATEN INDRAMAYU,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-6.4418536500000005,108.17654724128828"
KABUPATEN INDRAMAYU,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.4418536500000005,108.17654724128828"
KABUPATEN INDRAMAYU,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.4418536500000005,108.17654724128828"
KABUPATEN INDRAMAYU,PEREMPUAN,SD,1,2018,6-11,"-6.4418536500000005,108.17654724128828"
KABUPATEN INDRAMAYU,PEREMPUAN,SMP,0,2018,12-14,"-6.4418536500000005,108.17654724128828"
KABUPATEN INDRAMAYU,PEREMPUAN,SMA,2,2018,15-17,"-6.4418536500000005,108.17654724128828"
KABUPATEN INDRAMAYU,PEREMPUAN,PERGURUAN TINGGI,0,2018,>18,"-6.4418536500000005,108.17654724128828"
KABUPATEN INDRAMAYU,PEREMPUAN,TK/PAUD,1,2018,<5,"-6.4418536500000005,108.17654724128828"
KABUPATEN INDRAMAYU,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.4418536500000005,108.17654724128828"
KABUPATEN SUBANG,LAKI-LAKI,SD,4,2018,6-11,"-6.57158035,107.75830063055"
KABUPATEN SUBANG,LAKI-LAKI,SMP,3,2018,12-14,"-6.57158035,107.75830063055"
KABUPATEN SUBANG,LAKI-LAKI,SMA,2,2018,15-17,"-6.57158035,107.75830063055"
KABUPATEN SUBANG,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-6.57158035,107.75830063055"
KABUPATEN SUBANG,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.57158035,107.75830063055"
KABUPATEN SUBANG,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.57158035,107.75830063055"
KABUPATEN SUBANG,PEREMPUAN,SD,7,2018,6-11,"-6.57158035,107.75830063055"
KABUPATEN SUBANG,PEREMPUAN,SMP,11,2018,12-14,"-6.57158035,107.75830063055"
KABUPATEN SUBANG,PEREMPUAN,SMA,19,2018,15-17,"-6.57158035,107.75830063055"
KABUPATEN SUBANG,PEREMPUAN,PERGURUAN TINGGI,1,2018,>18,"-6.57158035,107.75830063055"
KABUPATEN SUBANG,PEREMPUAN,TK/PAUD,2,2018,<5,"-6.57158035,107.75830063055"
KABUPATEN SUBANG,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.57158035,107.75830063055"
KABUPATEN PURWAKARTA,LAKI-LAKI,SD,0,2018,6-11,"-6.5388774000000005,107.44605135"
KABUPATEN PURWAKARTA,LAKI-LAKI,SMP,0,2018,12-14,"-6.5388774000000005,107.44605135"
KABUPATEN PURWAKARTA,LAKI-LAKI,SMA,2,2018,15-17,"-6.5388774000000005,107.44605135"
KABUPATEN PURWAKARTA,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-6.5388774000000005,107.44605135"
KABUPATEN PURWAKARTA,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.5388774000000005,107.44605135"
KABUPATEN PURWAKARTA,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.5388774000000005,107.44605135"
KABUPATEN PURWAKARTA,PEREMPUAN,SD,1,2018,6-11,"-6.5388774000000005,107.44605135"
KABUPATEN PURWAKARTA,PEREMPUAN,SMP,0,2018,12-14,"-6.5388774000000005,107.44605135"
KABUPATEN PURWAKARTA,PEREMPUAN,SMA,3,2018,15-17,"-6.5388774000000005,107.44605135"
KABUPATEN PURWAKARTA,PEREMPUAN,PERGURUAN TINGGI,0,2018,>18,"-6.5388774000000005,107.44605135"
KABUPATEN PURWAKARTA,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.5388774000000005,107.44605135"
KABUPATEN PURWAKARTA,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.5388774000000005,107.44605135"
KABUPATEN KARAWANG,LAKI-LAKI,SD,2,2018,6-11,"-6.3021906,107.3046116"
KABUPATEN KARAWANG,LAKI-LAKI,SMP,0,2018,12-14,"-6.3021906,107.3046116"
KABUPATEN KARAWANG,LAKI-LAKI,SMA,1,2018,15-17,"-6.3021906,107.3046116"
KABUPATEN KARAWANG,LAKI-LAKI,PERGURUAN TINGGI,1,2018,>18,"-6.3021906,107.3046116"
KABUPATEN KARAWANG,LAKI-LAKI,TK/PAUD,1,2018,<5,"-6.3021906,107.3046116"
KABUPATEN KARAWANG,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.3021906,107.3046116"
KABUPATEN KARAWANG,PEREMPUAN,SD,3,2018,6-11,"-6.3021906,107.3046116"
KABUPATEN KARAWANG,PEREMPUAN,SMP,4,2018,12-14,"-6.3021906,107.3046116"
KABUPATEN KARAWANG,PEREMPUAN,SMA,9,2018,15-17,"-6.3021906,107.3046116"
KABUPATEN KARAWANG,PEREMPUAN,PERGURUAN TINGGI,3,2018,>18,"-6.3021906,107.3046116"
KABUPATEN KARAWANG,PEREMPUAN,TK/PAUD,1,2018,<5,"-6.3021906,107.3046116"
KABUPATEN KARAWANG,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.3021906,107.3046116"
KABUPATEN BEKASI,LAKI-LAKI,SD,1,2018,6-11,"-6.2027280000000005,107.16493925281344"
KABUPATEN BEKASI,LAKI-LAKI,SMP,0,2018,12-14,"-6.2027280000000005,107.16493925281344"
KABUPATEN BEKASI,LAKI-LAKI,SMA,0,2018,15-17,"-6.2027280000000005,107.16493925281344"
KABUPATEN BEKASI,LAKI-LAKI,PERGURUAN TINGGI,1,2018,>18,"-6.2027280000000005,107.16493925281344"
KABUPATEN BEKASI,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.2027280000000005,107.16493925281344"
KABUPATEN BEKASI,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.2027280000000005,107.16493925281344"
KABUPATEN BEKASI,PEREMPUAN,SD,0,2018,6-11,"-6.2027280000000005,107.16493925281344"
KABUPATEN BEKASI,PEREMPUAN,SMP,1,2018,12-14,"-6.2027280000000005,107.16493925281344"
KABUPATEN BEKASI,PEREMPUAN,SMA,1,2018,15-17,"-6.2027280000000005,107.16493925281344"
KABUPATEN BEKASI,PEREMPUAN,PERGURUAN TINGGI,0,2018,>18,"-6.2027280000000005,107.16493925281344"
KABUPATEN BEKASI,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.2027280000000005,107.16493925281344"
KABUPATEN BEKASI,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.2027280000000005,107.16493925281344"
KABUPATEN BANDUNG BARAT,LAKI-LAKI,SD,3,2018,6-11,"-6.8129007999999995,107.61858892782375"
KABUPATEN BANDUNG BARAT,LAKI-LAKI,SMP,0,2018,12-14,"-6.8129007999999995,107.61858892782375"
KABUPATEN BANDUNG BARAT,LAKI-LAKI,SMA,0,2018,15-17,"-6.8129007999999995,107.61858892782375"
KABUPATEN BANDUNG BARAT,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-6.8129007999999995,107.61858892782375"
KABUPATEN BANDUNG BARAT,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.8129007999999995,107.61858892782375"
KABUPATEN BANDUNG BARAT,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.8129007999999995,107.61858892782375"
KABUPATEN BANDUNG BARAT,PEREMPUAN,SD,3,2018,6-11,"-6.8129007999999995,107.61858892782375"
KABUPATEN BANDUNG BARAT,PEREMPUAN,SMP,1,2018,12-14,"-6.8129007999999995,107.61858892782375"
KABUPATEN BANDUNG BARAT,PEREMPUAN,SMA,5,2018,15-17,"-6.8129007999999995,107.61858892782375"
KABUPATEN BANDUNG BARAT,PEREMPUAN,PERGURUAN TINGGI,0,2018,>18,"-6.8129007999999995,107.61858892782375"
KABUPATEN BANDUNG BARAT,PEREMPUAN,TK/PAUD,1,2018,<5,"-6.8129007999999995,107.61858892782375"
KABUPATEN BANDUNG BARAT,PEREMPUAN,TK/PAUD,1,2018,<5,"-6.8129007999999995,107.61858892782375"
KABUPATEN PANGANDARAN,LAKI-LAKI,SD,0,2018,6-11,"-6.3588741,106.6337276"
KABUPATEN PANGANDARAN,LAKI-LAKI,SMP,0,2018,12-14,"-6.3588741,106.6337276"
KABUPATEN PANGANDARAN,LAKI-LAKI,SMA,0,2018,15-17,"-6.3588741,106.6337276"
KABUPATEN PANGANDARAN,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-6.3588741,106.6337276"
KABUPATEN PANGANDARAN,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.3588741,106.6337276"
KABUPATEN PANGANDARAN,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.3588741,106.6337276"
KABUPATEN PANGANDARAN,PEREMPUAN,SD,2,2018,6-11,"-6.3588741,106.6337276"
KABUPATEN PANGANDARAN,PEREMPUAN,SMP,0,2018,12-14,"-6.3588741,106.6337276"
KABUPATEN PANGANDARAN,PEREMPUAN,SMA,0,2018,15-17,"-6.3588741,106.6337276"
KABUPATEN PANGANDARAN,PEREMPUAN,PERGURUAN TINGGI,0,2018,>18,"-6.3588741,106.6337276"
KABUPATEN PANGANDARAN,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.3588741,106.6337276"
KABUPATEN PANGANDARAN,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.3588741,106.6337276"
KOTA BOGOR,LAKI-LAKI,SD,0,2018,6-11,"-6.5962986,106.7972421"
KOTA BOGOR,LAKI-LAKI,SMP,2,2018,12-14,"-6.5962986,106.7972421"
KOTA BOGOR,LAKI-LAKI,SMA,0,2018,15-17,"-6.5962986,106.7972421"
KOTA BOGOR,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-6.5962986,106.7972421"
KOTA BOGOR,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.5962986,106.7972421"
KOTA BOGOR,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.5962986,106.7972421"
KOTA BOGOR,PEREMPUAN,SD,4,2018,6-11,"-6.5962986,106.7972421"
KOTA BOGOR,PEREMPUAN,SMP,1,2018,12-14,"-6.5962986,106.7972421"
KOTA BOGOR,PEREMPUAN,SMA,4,2018,15-17,"-6.5962986,106.7972421"
KOTA BOGOR,PEREMPUAN,PERGURUAN TINGGI,1,2018,>18,"-6.5962986,106.7972421"
KOTA BOGOR,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.5962986,106.7972421"
KOTA BOGOR,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.5962986,106.7972421"
KOTA SUKABUMI,LAKI-LAKI,SD,8,2018,6-11,"-6.9199289,106.9265095"
KOTA SUKABUMI,LAKI-LAKI,SMP,2,2018,12-14,"-6.9199289,106.9265095"
KOTA SUKABUMI,LAKI-LAKI,SMA,0,2018,15-17,"-6.9199289,106.9265095"
KOTA SUKABUMI,LAKI-LAKI,PERGURUAN TINGGI,0,2018,>18,"-6.9199289,106.9265095"
KOTA SUKABUMI,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.9199289,106.9265095"
KOTA SUKABUMI,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.9199289,106.9265095"
KOTA SUKABUMI,PEREMPUAN,SD,3,2018,6-11,"-6.9199289,106.9265095"
KOTA SUKABUMI,PEREMPUAN,SMP,7,2018,12-14,"-6.9199289,106.9265095"
KOTA SUKABUMI,PEREMPUAN,SMA,5,2018,15-17,"-6.9199289,106.9265095"
KOTA SUKABUMI,PEREMPUAN,PERGURUAN TINGGI,0,2018,>18,"-6.9199289,106.9265095"
KOTA SUKABUMI,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.9199289,106.9265095"
KOTA SUKABUMI,PEREMPUAN,TK/PAUD,0,2018,<5,"-6.9199289,106.9265095"
KOTA BANDUNG,LAKI-LAKI,SD,5,2018,6-11,"-6.9215529,107.6110212"
KOTA BANDUNG,LAKI-LAKI,SMP,1,2018,12-14,"-6.9215529,107.6110212"
KOTA BANDUNG,LAKI-LAKI,SMA,1,2018,15-17,"-6.9215529,107.6110212"
KOTA BANDUNG,LAKI-LAKI,PERGURUAN TINGGI,1,2018,>18,"-6.9215529,107.6110212"
KOTA BANDUNG,LAKI-LAKI,TK/PAUD,1,2018,<5,"-6.9215529,107.6110212"
KOTA BANDUNG,LAKI-LAKI,TK/PAUD,0,2018,<5,"-6.9215529,107.6110212"
KOTA BANDUNG,PEREMPUAN,SD,7,2018,6-11,"-6.9215529,107.6110212"
KOTA BANDUNG,PEREMPUAN,SMP,5,2018,12-14,"-6.9215529,107.6110212"
KOTA BANDUNG,PEREMPUAN,SMA,14,2018,15-17,"-6.9215529,107.6110212"
KOTA BANDUNG,PEREMPUAN,PERGURUAN TINGGI,6,2018,>18,"-6.9215529,107.6110212"
KOTA BANDUNG,PEREMPUAN,TK/PAUD,1,2018,<5,"-6.9215529,107.6110212"
